"category","subcategory","name","url","feed_url","feed_error_attempt","alexa","image_capture_attempt","attempt_reset_count","image_hour","image_updated_at","status"
"Info","Education","World Of Quotes","http://www.worldofquotes.com/","","","242498","","","N","Dec 31, 2017","active"
"Info","Education","Brainy Quote","http://www.brainyquote.com/","","","1360","","","W","3 days ago","active"
"Info","Education","Aphorisms Galore","http://www.aphorismsgalore.com/","","","2838503","","","W","16 hours ago","active"
"Info","Education","Phrases UK","http://www.phrases.org.uk/","","","29760","","","W","16 hours ago","active"
"Ideas","Ideas","Quote Investigator","http://quoteinvestigator.com/","http://quoteinvestigator.com/feed/","","77104","","","D","Oct 17, 2017","problem"
"Info","Education","Good Reads","http://www.goodreads.com/","","","276","","","N","Jun 2, 2016","active"
"Info","Education","Audible.com","http://www.audible.com/","","","929","","","W","3 days ago","active"
"Ideas","Ideas","Public Domain Review","http://publicdomainreview.org/","http://publicdomainreview.org/feed/","","128049","","","D","Oct 22, 2017","problem"
"Info","Education","Proverbia","http://en.proverbia.net/","","","18210","","","W","16 hours ago","active"
"Ideas","Culture","Publisher's Weekly","http://www.publishersweekly.com/","http://www.publishersweekly.com/pw/podcasts/pwlitcast/index.rss","","25651","","","D","Oct 18, 2017","problem"
"Info","Education","Brain Pickings","http://www.brainpickings.org/","","","6331","","","D","","inactive"
"Info","Education","Longreads","http://longreads.com/","","","52516","","","D","Dec 8, 2015","inactive"
"Info","Education","Columbia Journalism Review","http://www.cjr.org/","","","66675","","","D","Dec 8, 2015","inactive"
"Info","Entertainment","Velamag","http://velamag.com/Topics/features/","http://velamag.com/feed/","","1131236","","","N","Oct 2, 2017","active"
"Ideas","Culture","London Review of Books","http://www.lrb.co.uk/","http://cdn.lrb.co.uk/feeds/lrb","","50353","","","D","13 hours ago","active"
"Info","Services","Scribd","http://www.scribd.com/","","","482","","","N","","active"
"Ideas","Culture","LA Review of Books","https://lareviewofbooks.org/","","","79101","","","D","","inactive"
"Info","Services","UNZ","http://www.unz.org","","","237175","","","W","8 hours ago","active"
"Info","Education","Dummies.com","http://www.dummies.com/","","","1992","","","N","Feb 27, 2017","active"
"Info","Services","Digital Public Library of America","http://dp.la/","","","233767","","","N","May 30, 2016","active"
"Info","Education","Starfall","http://www.starfall.com/","","","11026","","","N","","active"
"Info","Education","Free Booknotes","http://www.freebooknotes.com/","","","204695","","","N","","active"
"Info","Education","Enotes","http://www.enotes.com/","","","8782","","","N","","active"
"Info","Education","Shmoop","http://www.shmoop.com/","","","6422","","","N","","active"
"Info","Education","Cram","http://www.cram.com/","","","23321","","","N","","active"
"Info","Education","SOS Math","http://www.sosmath.com","","","44401","","","N","","active"
"Info","Education","Memrise","http://www.memrise.com/","","","8994","","","N","","active"
"Info","Education","Info Please","http://www.infoplease.com/","","","9366","","","N","","active"
"Info","Education","Learn Outloud","http://www.learnoutloud.com/","","","60321","","","N","","active"
"Ideas","Culture","Hechinger Report","http://hechingerreport.org/","http://feeds.feedburner.com/HechingerReport","","139036","","","D","10 hours ago","active"
"Info","Entertainment","Open Culture","http://www.openculture.com/","","","9277","","","W","4 days ago","active"
"Ideas","Culture","Royal Society for the Arts","https://www.thersa.org/","","","177193","","","M","","inactive"
"Info","Education","Research Gate","http://www.researchgate.net/","","","807","","","N","","active"
"Info","Education","Academia.edu","https://www.academia.edu/","","","963","","","N","","active"
"Info","Education","Varsity Tutors","http://www.varsitytutors.com/","","","48852","","","N","","active"
"Info","Education","Scholar-Pedia","http://www.scholarpedia.org/","","","142313","","","N","","active"
"Ideas","Tech","Slideshare","http://www.slideshare.net/","","","156","","","D","Feb 22, 2018","problem"
"Info","Education","Encyclopedia.com","http://www.encyclopedia.com/","","","16605","","","W","8 hours ago","active"
"Info","Education","Springer-Link","http://link.springer.com/","","","1442","","","W","2 days ago","active"
"Ideas","Entertainment","Drowned in Sound","http://drownedinsound.com/","http://drownedinsound.com/feed/index","26","105719","","","D","Jun 30, 2016","problem"
"Ideas","Entertainment","Electronic Beats","http://www.electronicbeats.net/","http://www.electronicbeats.net/feed/","","184124","","","D","12 hours ago","active"
"Ideas","Culture","Daily Motion","http://www.dailymotion.com/","http://www.dailymotion.com/rss/1","","92","","","D","Sep 16, 2017","problem"
"Ideas","Entertainment","Decider","http://decider.com/","","","21742","","","D","10 hours ago","active"
"Ideas","Culture","Signature","http://www.signature-reads.com/","http://www.signature-reads.com/feed/","","829920","","","D","15 hours ago","active"
"Ideas","Entertainment","The Mary Sue","http://www.themarysue.com/","http://www.themarysue.com/feed/","2","9729","","","D","14 hours ago","active"
"Ideas","Entertainment","People Magazine","http://www.people.com/","http://rss.people.com/web/people/rss/topheadlines/index.xml","327","527","","","D","6 days ago","problem"
"Ideas","Entertainment","Vulture","http://www.vulture.com/","http://www.vulture.com/rss/latestnews/full.xml","6","2515","","","D","19 hours ago","active"
"Ideas","Entertainment","Slash Film","http://www.slashfilm.com/","http://feeds2.feedburner.com/slashfilm","","5269","","","D","13 hours ago","active"
"Ideas","Entertainment","Polygon","http://www.polygon.com/","","","2106","","","D","Dec 8, 2015","inactive"
"Ideas","Entertainment","Timeout","http://www.timeout.com/","","","1904","","","D","Dec 15, 2015","inactive"
"Ideas","Entertainment","AV Club","http://www.avclub.com/","http://www.avclub.com/feed/rss/","","1998","","","D","18 hours ago","active"
"Ideas","Entertainment","Uproxx","http://uproxx.com/","","","1164","","","D","1 day ago","problem"
"Ideas","Entertainment","Pitchfork","http://pitchfork.com/","","","2355","","","D","12 hours ago","active"
"Info","Entertainment","Jango","http://www.jango.com/","","","7450","","","N","","active"
"Info","Entertainment","Last.fm","http://www.last.fm/","","","1632","","","N","","active"
"Info","Entertainment","Sound Cloud","https://soundcloud.com/","","","173","","","N","","active"
"Info","Entertainment","This Is My Jam","https://www.thisismyjam.com/","","","91374","","","N","","active"
"Info","Entertainment","Relax Daily","http://relaxdaily.net/","","","1143219","","","N","","active"
"Info","Entertainment","Video Juke Box","http://www.1959bhsmustangs.com/VideoJukebox.htm","","","406302","","","N","","active"
"Info","Entertainment","Rhapsody","http://www.rhapsody.com/","","","13586","","","N","","active"
"Info","Entertainment","Spotify","https://www.spotify.com/","","","344","","","N","","inactive"
"Info","Entertainment","Pandora","http://www.pandora.com/","","","317","","","N","","active"
"Info","Entertainment","Songza","http://www.songza.com","","","7128","","","N","","active"
"Info","Entertainment","Genius","http://genius.com/","","","1221","","","N","","active"
"Info","Entertainment","Google Music","https://music.google.com/","","","654","","","N","","active"
"Info","Entertainment","Apple Music","http://www.apple.com/music/","","","763","","","N","","active"
"Info","Entertainment","Comic's Comic","http://thecomicscomic.com/","http://thecomicscomic.com/feed/ ","","486059","","","N","Jun 7, 2016","active"
"Ideas","Entertainment","Splitsider","http://splitsider.com/","","","32854","","","D","Dec 8, 2015","inactive"
"Ideas","Entertainment","Comic Book","http://comicbook.com/","","","3400","","","D","Sep 25, 2017","problem"
"Info","Entertainment","Comedy Central","http://www.cc.com/","","","1512","","","N","Sep 30, 2017","active"
"Info","Entertainment","Y8","http://www.y8.com/","","","1033","","","W","8 hours ago","active"
"Ideas","Entertainment","Kongregate","http://www.kongregate.com/","","","1446","","","D","Dec 8, 2015","inactive"
"Info","Entertainment","Retrocade","http://retrocade.net/","","","8064902","","","N","","active"
"Info","Entertainment","Armor Games","http://armorgames.com/","","","2272","","","N","","active"
"Info","Entertainment","Adventure Quest","http://www.aq.com/","","","17841","","","N","","active"
"Info","Entertainment","Draw Stickman","http://www.drawastickman.com/","","","72512","","","N","","active"
"Info","Entertainment","PBS Video","http://video.pbs.org/","","","1481","","","N","","active"
"Info","Entertainment","Streaming The Net","http://www.streamingthe.net/","","","99659","","","N","","active"
"Info","Entertainment","CBS Shows","http://www.cbs.com/shows/  - Shows on CBS","","","1391","","","N","","active"
